objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement
jb001,IMG_0408.jpg,,Dominoe tile table,"Knight, R. Cecilia ; Mertens, Gary D.",2020-08-14,Coffee table tiled in handmade dominoes and tiles,Coffee tables ; Ceramic tiles ;  Dominoes ; Pottery craft,"Grinnell, Iowa",41.75179133,-92.72770502,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb002,IMG_0409.jpg,,Ceramic Umbrella stand competition results,"Knight, R. Cecilia ; Mertens, Jane E.",2020-08-14,Fish umbrella stand and Frog umbrella stand,Umbrella stands ; Animals in art ; Pottery craft ,"Grinnell, Iowa",41.75179133,-92.72770502,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb003,IMG_0419.jpg,,Terra Cotta lidded jars,"Knight, R. Cecilia",2020-08-25,Terra cotta lidded jars with sodium silicate texture,Storage jars ; Pottery ,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb004,IMG_0469.jpg,,Multi-color tile table,"Knight, R. Cecilia ; Mertens, Gary D.",2021-02-23,Blue coffee tables with tiled tops,Coffee tables ; Ceramic tiles ;  Dominoes ; Pottery craft,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb005,IMG_0553.jpg,,Celedon Crystal porcelain tumbler,"Knight, R. Cecilia",2021-03-16,Celedon green tumbler with crystal patterns,Tumblers (Drinking glasses) ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb006,IMG_0554.jpg,,Porcelain vase with Celedon Crystal,"Knight, R. Cecilia",2021-03-22,Rounded porcelain vase with narrow throat and layers of shades of green and crystal patterns,Vases ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb007,IMG_0555.jpg,,Blue mug (10 oz),"Knight, R. Cecilia",2020-10-15,Matt blue stone glaze mug,Mugs ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb008,IMG_0556.jpg,,Jade green chattered mug,"Knight, R. Cecilia",2020-06-15,Jade green mug with copper highlights and chattered texture,Mugs ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb009,IMG_0557.jpg,,Shiny brown chattered mug,"Knight, R. Cecilia",2020-06-15,Brown mug with copper highlights and chattered texture,Mugs ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb010,IMG_0558.jpg,,Jade green chattered bowl,"Knight, R. Cecilia",2020-07-15,Jade green bowl with copper highlights and chattered texture,Ceramic bowls ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb011,IMG_0560.jpg,,Red chattered bowl,"Knight, R. Cecilia",2020-07-15,Red bowl with copper highlights and chattered texture,Ceramic bowls ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb012,IMG_0561.jpg,,Brown chattered bowl,"Knight, R. Cecilia",2020-07-15,Brown bowl with copper highlights and chattered texture,Ceramic bowls ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb013,IMG_0562.jpg,,Brown chattered mug 2,"Knight, R. Cecilia",2020-06-15,Brown mug with copper highlights and chattered texture,Mugs ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
jb014,IMG_0563.jpg,,Terra cotta mug with blue glaze,"Knight, R. Cecilia",2020-02-12,Terra cotta mug with shiny blue glaze,Mugs ; Pottery,"Grinnell, Iowa",41.74428914,-92.72407979,Grinnell Open Studio Ceramics,Image;StillImage,image/jpeg,eng,No copyright-United States,http://rightsstatements.org/vocab/NoC-US/1.0/
